time_sec,chan1_rms,chan1_energy
11.4500,0.000450,0.000081
11.4750,0.000451,0.000082
11.5000,0.000452,0.000082
11.5250,0.000448,0.000080
11.5500,0.000452,0.000082
11.5750,0.000451,0.000081
11.6000,0.000450,0.000081
11.6250,0.000447,0.000080
11.6500,0.000449,0.000081
11.6750,0.000447,0.000080
11.7000,0.000445,0.000079
11.7250,0.000448,0.000080
11.7500,0.000446,0.000080
11.7750,0.000448,0.000080
11.8000,0.000454,0.000082
11.8250,0.000448,0.000080
11.8500,0.000447,0.000080
11.8750,0.000452,0.000082
11.9000,0.000457,0.000084
11.9250,0.000445,0.000079
11.9500,0.000447,0.000080
11.9750,0.000451,0.000081
12.0000,0.000454,0.000083
12.0250,0.000447,0.000080
12.0500,0.000449,0.000081
12.0750,0.000447,0.000080
12.1000,0.000450,0.000081
12.1250,0.000447,0.000080
12.1500,0.000452,0.000082
12.1750,0.000451,0.000082
12.2000,0.000449,0.000081
12.2250,0.000448,0.000080
12.2500,0.000447,0.000080
12.2750,0.000451,0.000081
12.3000,0.000449,0.000081
12.3250,0.000450,0.000081
12.3500,0.000450,0.000081
12.3750,0.000453,0.000082
12.4000,0.000456,0.000083
12.4250,0.000457,0.000084
12.4500,0.000456,0.000083
12.4750,0.000455,0.000083
12.5000,0.000456,0.000083
12.5250,0.000445,0.000079
12.5500,0.000454,0.000082
12.5750,0.000457,0.000084
12.6000,0.000452,0.000082
12.6250,0.000452,0.000082
12.6500,0.000448,0.000080
12.6750,0.000452,0.000082
12.7000,0.000455,0.000083
12.7250,0.000454,0.000082
12.7500,0.000458,0.000084
12.7750,0.000451,0.000081
12.8000,0.000449,0.000081
12.8250,0.000448,0.000080
12.8500,0.000450,0.000081
12.8750,0.000455,0.000083
12.9000,0.000451,0.000082
12.9250,0.000455,0.000083
12.9500,0.000456,0.000083
12.9750,0.000449,0.000081
13.0000,0.000454,0.000082
13.0250,0.000449,0.000081
13.0500,0.000469,0.000088
13.0750,0.000523,0.000109
13.1000,0.000673,0.000181
13.1250,0.001076,0.000463
13.1500,0.001106,0.000489
13.1750,0.000798,0.000255
13.2000,0.000656,0.000172
13.2250,0.000580,0.000135
13.2500,0.000625,0.000156
13.2750,0.000711,0.000202
13.3000,0.000760,0.000231
13.3250,0.000671,0.000180
13.3500,0.000569,0.000130
13.3750,0.000548,0.000120
13.4000,0.000616,0.000152
13.4250,0.000586,0.000137
13.4500,0.000503,0.000101
13.4750,0.000462,0.000085
13.5000,0.000451,0.000081
13.5250,0.000459,0.000084
13.5500,0.000454,0.000083
13.5750,0.000452,0.000082
13.6000,0.000455,0.000083
13.6250,0.000453,0.000082
13.6500,0.000451,0.000081
13.6750,0.000451,0.000081
13.7000,0.000451,0.000081
13.7250,0.000456,0.000083
13.7500,0.000457,0.000083
13.7750,0.000456,0.000083
13.8000,0.000457,0.000084
13.8250,0.000457,0.000084
13.8500,0.000458,0.000084
13.8750,0.000457,0.000083
13.9000,0.000456,0.000083
13.9250,0.000447,0.000080
13.9500,0.000451,0.000081
13.9750,0.000458,0.000084
14.0000,0.000458,0.000084
14.0250,0.000458,0.000084
14.0500,0.000458,0.000084
14.0750,0.000454,0.000082
14.1000,0.000451,0.000081
14.1250,0.000456,0.000083
14.1500,0.000454,0.000083
14.1750,0.000449,0.000081
14.2000,0.000453,0.000082
14.2250,0.000453,0.000082
14.2500,0.000455,0.000083
14.2750,0.000456,0.000083
14.3000,0.000456,0.000083
14.3250,0.000455,0.000083
14.3500,0.000457,0.000084
14.3750,0.000457,0.000084
14.4000,0.000451,0.000082
14.4250,0.000453,0.000082
14.4500,0.000452,0.000082
14.4750,0.000454,0.000082
14.5000,0.000455,0.000083
14.5250,0.000452,0.000082
14.5500,0.000454,0.000082
14.5750,0.000451,0.000081
14.6000,0.000453,0.000082
14.6250,0.000453,0.000082
14.6500,0.000453,0.000082
14.6750,0.000454,0.000082
14.7000,0.000456,0.000083
14.7250,0.000452,0.000082
14.7500,0.000452,0.000082
14.7750,0.000456,0.000083
14.8000,0.000453,0.000082
14.8250,0.000457,0.000084
14.8500,0.000464,0.000086
14.8750,0.000461,0.000085
14.9000,0.000460,0.000085
14.9250,0.000454,0.000082
14.9500,0.000457,0.000084
14.9750,0.000455,0.000083
15.0000,0.000455,0.000083
15.0250,0.000448,0.000080
15.0500,0.000451,0.000081
15.0750,0.000454,0.000082
15.1000,0.000453,0.000082
15.1250,0.000454,0.000082
15.1500,0.000451,0.000081
15.1750,0.000453,0.000082
15.2000,0.000451,0.000081
15.2250,0.000452,0.000082
15.2500,0.000457,0.000083
15.2750,0.000457,0.000084
15.3000,0.000457,0.000084
15.3250,0.000456,0.000083
15.3500,0.000450,0.000081
15.3750,0.000447,0.000080
15.4000,0.000454,0.000082
15.4250,0.000455,0.000083
15.4500,0.000454,0.000082
15.4750,0.000455,0.000083
15.5000,0.000455,0.000083
15.5250,0.000455,0.000083
15.5500,0.000457,0.000084
15.5750,0.000457,0.000084
15.6000,0.000458,0.000084
15.6250,0.000457,0.000084
15.6500,0.000458,0.000084
15.6750,0.000457,0.000084
15.7000,0.000452,0.000082
15.7250,0.000457,0.000084
15.7500,0.000455,0.000083
15.7750,0.000454,0.000083
15.8000,0.000453,0.000082
15.8250,0.000450,0.000081
15.8500,0.000450,0.000081
15.8750,0.000449,0.000081
15.9000,0.000457,0.000084
15.9250,0.000451,0.000081
15.9500,0.000453,0.000082
15.9750,0.000456,0.000083
16.0000,0.000454,0.000082
16.0250,0.000454,0.000083
16.0500,0.000458,0.000084
16.0750,0.000458,0.000084
16.1000,0.000457,0.000084
16.1250,0.000455,0.000083
16.1500,0.000455,0.000083
16.1750,0.000452,0.000082
16.2000,0.000454,0.000082
16.2250,0.000454,0.000082
16.2500,0.000454,0.000082
16.2750,0.000451,0.000081
16.3000,0.000453,0.000082
16.3250,0.000451,0.000081
16.3500,0.000458,0.000084
16.3750,0.000454,0.000082
16.4000,0.000456,0.000083
16.4250,0.000457,0.000084
16.4500,0.000457,0.000084
16.4750,0.000458,0.000084
16.5000,0.000456,0.000083
16.5250,0.000457,0.000084
16.5500,0.000458,0.000084
16.5750,0.000457,0.000083
16.6000,0.000453,0.000082
16.6250,0.000451,0.000081
16.6500,0.000451,0.000081
16.6750,0.000449,0.000081
16.7000,0.000457,0.000084
16.7250,0.000456,0.000083
16.7500,0.000458,0.000084
16.7750,0.000458,0.000084
16.8000,0.000458,0.000084
16.8250,0.000458,0.000084
16.8500,0.000458,0.000084
16.8750,0.000458,0.000084
16.9000,0.000458,0.000084
16.9250,0.000456,0.000083
16.9500,0.000456,0.000083
16.9750,0.000457,0.000083
17.0000,0.000458,0.000084
17.0250,0.000458,0.000084
17.0500,0.000458,0.000084
17.0750,0.000458,0.000084
17.1000,0.000455,0.000083
17.1250,0.000457,0.000084
17.1500,0.000458,0.000084
17.1750,0.000458,0.000084
17.2000,0.000458,0.000084
17.2250,0.000457,0.000084
17.2500,0.000452,0.000082
17.2750,0.000449,0.000081
17.3000,0.000455,0.000083
17.3250,0.000458,0.000084
17.3500,0.000458,0.000084
17.3750,0.000458,0.000084
17.4000,0.000458,0.000084
17.4250,0.000458,0.000084
17.4500,0.000458,0.000084
17.4750,0.000458,0.000084
17.5000,0.000458,0.000084
17.5250,0.000458,0.000084
17.5500,0.000458,0.000084
17.5750,0.000458,0.000084
17.6000,0.000458,0.000084
17.6250,0.000458,0.000084
17.6500,0.000458,0.000084
17.6750,0.000458,0.000084
17.7000,0.000458,0.000084
17.7250,0.000458,0.000084
17.7500,0.000458,0.000084
17.7750,0.000458,0.000084
17.8000,0.000458,0.000084
17.8250,0.000458,0.000084
17.8500,0.000458,0.000084
17.8750,0.000458,0.000084
17.9000,0.000458,0.000084
17.9250,0.000458,0.000084
17.9500,0.000454,0.000083
17.9750,0.000447,0.000080
18.0000,0.000451,0.000081
18.0250,0.000456,0.000083
18.0500,0.000458,0.000084
18.0750,0.000458,0.000084
18.1000,0.000458,0.000084
18.1250,0.000458,0.000084
18.1500,0.000458,0.000084
18.1750,0.000458,0.000084
18.2000,0.000458,0.000084
18.2250,0.000458,0.000084
18.2500,0.000458,0.000084
18.2750,0.000458,0.000084
18.3000,0.000457,0.000084
18.3250,0.000458,0.000084
18.3500,0.000458,0.000084
18.3750,0.000457,0.000084
18.4000,0.000458,0.000084
18.4250,0.000457,0.000084
18.4500,0.000457,0.000084
18.4750,0.000458,0.000084
18.5000,0.000458,0.000084
18.5250,0.000458,0.000084
18.5500,0.000458,0.000084
18.5750,0.000458,0.000084
18.6000,0.000457,0.000083
18.6250,0.000454,0.000082
18.6500,0.000457,0.000084
18.6750,0.000456,0.000083
18.7000,0.000456,0.000083
18.7250,0.000456,0.000083
18.7500,0.000457,0.000083
18.7750,0.000457,0.000084
18.8000,0.000455,0.000083
18.8250,0.000457,0.000084
18.8500,0.000457,0.000084
18.8750,0.000457,0.000084
18.9000,0.000457,0.000083
18.9250,0.000457,0.000084
18.9500,0.000456,0.000083
18.9750,0.000457,0.000084
19.0000,0.000456,0.000083
19.0250,0.000456,0.000083
19.0500,0.000454,0.000082
19.0750,0.000450,0.000081
19.1000,0.000454,0.000082
19.1250,0.000452,0.000082
19.1500,0.000453,0.000082
19.1750,0.000454,0.000083
19.2000,0.000455,0.000083
19.2250,0.000456,0.000083
19.2500,0.000455,0.000083
19.2750,0.000457,0.000083
19.3000,0.000456,0.000083
19.3250,0.000457,0.000083
19.3500,0.000457,0.000084
19.3750,0.000457,0.000083
19.4000,0.000457,0.000084
19.4250,0.000455,0.000083
19.4500,0.000457,0.000084
19.4750,0.000457,0.000084
19.5000,0.000457,0.000084
19.5250,0.000457,0.000084
19.5500,0.000457,0.000084
19.5750,0.000457,0.000084
19.6000,0.000455,0.000083
19.6250,0.000457,0.000084
19.6500,0.000456,0.000083
19.6750,0.000452,0.000082
19.7000,0.000457,0.000084
19.7250,0.000456,0.000083
19.7500,0.000454,0.000082
19.7750,0.000454,0.000082
19.8000,0.000453,0.000082
19.8250,0.000454,0.000082
19.8500,0.000455,0.000083
19.8750,0.000457,0.000083
19.9000,0.000453,0.000082
19.9250,0.000456,0.000083
19.9500,0.000456,0.000083
19.9750,0.000456,0.000083
20.0000,0.000456,0.000083
20.0250,0.000454,0.000083
20.0500,0.000456,0.000083
20.0750,0.000450,0.000081
20.1000,0.000445,0.000079
20.1250,0.000449,0.000080
20.1500,0.000453,0.000082
20.1750,0.000454,0.000082
20.2000,0.000454,0.000083
20.2250,0.000456,0.000083
20.2500,0.000454,0.000082
20.2750,0.000457,0.000084
20.3000,0.000455,0.000083
20.3250,0.000456,0.000083
20.3500,0.000456,0.000083
20.3750,0.000452,0.000082
20.4000,0.000448,0.000080
20.4250,0.000447,0.000080
20.4500,0.000448,0.000080
20.4750,0.000444,0.000079
20.5000,0.000447,0.000080
20.5250,0.000442,0.000078
20.5500,0.000447,0.000080
20.5750,0.000446,0.000080
20.6000,0.000448,0.000080
20.6250,0.000444,0.000079
20.6500,0.000452,0.000082
20.6750,0.000446,0.000080
20.7000,0.000449,0.000081
20.7250,0.000451,0.000081
20.7500,0.000449,0.000080
20.7750,0.000445,0.000079
20.8000,0.000446,0.000079
20.8250,0.000451,0.000081
20.8500,0.000448,0.000080
20.8750,0.000451,0.000081
20.9000,0.000446,0.000080
20.9250,0.000446,0.000080
20.9500,0.000445,0.000079
20.9750,0.000450,0.000081
21.0000,0.000446,0.000080
21.0250,0.000447,0.000080
21.0500,0.000447,0.000080
21.0750,0.000451,0.000081
21.1000,0.000452,0.000082
21.1250,0.000447,0.000080
21.1500,0.000453,0.000082
21.1750,0.000450,0.000081
21.2000,0.000449,0.000081
21.2250,0.000450,0.000081
21.2500,0.000451,0.000081
21.2750,0.000448,0.000080
21.3000,0.000453,0.000082
21.3250,0.000448,0.000080
21.3500,0.000448,0.000080
21.3750,0.000448,0.000080
21.4000,0.000448,0.000080
21.4250,0.000446,0.000080
21.4500,0.000446,0.000080
21.4750,0.000445,0.000079
21.5000,0.000447,0.000080
21.5250,0.000447,0.000080
21.5500,0.000447,0.000080
21.5750,0.000446,0.000080
21.6000,0.000445,0.000079
21.6250,0.000446,0.000079
21.6500,0.000446,0.000080
21.6750,0.000447,0.000080
21.7000,0.000448,0.000080
21.7250,0.000454,0.000083
21.7500,0.000452,0.000082
21.7750,0.000452,0.000082
21.8000,0.000452,0.000082
21.8250,0.000446,0.000080
21.8500,0.000446,0.000079
21.8750,0.000454,0.000082
21.9000,0.000446,0.000080
21.9250,0.000451,0.000081
21.9500,0.000444,0.000079
21.9750,0.000445,0.000079
22.0000,0.000446,0.000080
22.0250,0.000445,0.000079
22.0500,0.000448,0.000080
22.0750,0.000456,0.000083
22.1000,0.000452,0.000082
22.1250,0.000450,0.000081
22.1500,0.000455,0.000083
22.1750,0.000450,0.000081
22.2000,0.000455,0.000083
22.2250,0.000448,0.000080
22.2500,0.000448,0.000080
22.2750,0.000451,0.000081
22.3000,0.000449,0.000081
22.3250,0.000448,0.000080
22.3500,0.000453,0.000082
22.3750,0.000447,0.000080
22.4000,0.000446,0.000080
22.4250,0.000446,0.000079
22.4500,0.000449,0.000081
22.4750,0.000446,0.000080
22.5000,0.000455,0.000083
22.5250,0.000449,0.000081
22.5500,0.000448,0.000080
22.5750,0.000448,0.000080
22.6000,0.000445,0.000079
22.6250,0.000449,0.000081
22.6500,0.000445,0.000079
22.6750,0.000455,0.000083
22.7000,0.000456,0.000083
22.7250,0.000446,0.000080
22.7500,0.000452,0.000082
22.7750,0.000450,0.000081
22.8000,0.000454,0.000082
22.8250,0.000446,0.000080
22.8500,0.000451,0.000081
22.8750,0.000453,0.000082
22.9000,0.000455,0.000083
22.9250,0.000452,0.000082
22.9500,0.000451,0.000081
22.9750,0.000453,0.000082
23.0000,0.000448,0.000080
23.0250,0.000454,0.000083
23.0500,0.000450,0.000081
23.0750,0.000451,0.000081
23.1000,0.000448,0.000080
23.1250,0.000445,0.000079
23.1500,0.000446,0.000080
23.1750,0.000447,0.000080
